year,team,team_salary,avg_player_salary,median_player_salary,wins,cost_per_win,championship
2008,ATL,102365683.00,3412189.00,428750.00,72,1421745.60,no
2008,BAL,67196246.00,2099883.00,477500.00,68,988180.09,no
2008,BOS,120390035.00,4458890.00,2000000.00,95,1267263.53,no
2008,CHC,118345833.00,4383179.00,3175000.00,97,1220060.13,no
2008,CHW,120794332.00,4645936.00,2775000.00,89,1357239.69,no
2008,CIN,69542695.00,2575655.00,975000.00,74,939766.15,no
2008,CLE,78576766.00,3143071.00,2200000.00,81,970083.53,no
2008,COL,68655500.00,2640596.00,887500.00,74,927777.03,no
2008,DET,137685196.00,4589507.00,1487500.00,74,1860610.76,no
2008,HOU,88930414.00,3293719.00,1100000.00,86,1034074.58,no
2008,KCR,58245500.00,2240212.00,1306250.00,75,776606.67,no
2008,LAA,118825333.00,4243762.00,1325000.00,100,1188253.33,no
2008,LAD,118164036.00,4220144.00,712500.00,84,1406714.71,no
2008,MIA,19811500.00,619109.00,393750.00,84,235851.19,no
2008,MIL,80533499.00,2876196.00,2275000.00,90,894816.66,no
2008,MIN,56932766.00,2277311.00,1050000.00,88,646963.25,no
2008,NYM,137793376.00,4593113.00,1993750.00,89,1548240.18,no
2008,NYY,181081577.00,6036053.00,1812500.00,89,2034624.46,no
2008,OAK,47967126.00,1713112.00,455000.00,75,639561.68,no
2008,PHI,88269880.00,3152496.00,1150000.00,92,959455.22,yes
2008,PIT,48689783.00,1872684.00,480250.00,67,726713.18,no
2008,SDP,73677616.00,2376697.00,700000.00,63,1169485.97,no
2008,SEA,117666482.00,4525634.00,1650000.00,72,1634256.69,no
2008,SFG,75644500.00,2701589.00,527500.00,61,1240073.77,no
2008,STL,97811949.00,3056623.00,1000000.00,86,1137348.24,no
2008,TBR,43820597.00,1460687.00,414650.00,97,451758.73,no
2008,TEX,67315496.00,2404125.00,905000.00,79,852094.89,no
2008,TOR,97793900.00,3621996.00,1550000.00,86,1137138.37,no
2008,WAS,54961000.00,1895207.00,1000000.00,59,931542.37,no
2007,ARI,52067546.00,1859555.00,396000.00,90,578528.29,no
2007,ATL,87290833.00,3117530.00,595000.00,84,1039176.58,no
2007,BAL,93554808.00,3341243.00,3000000.00,69,1355866.78,no
2007,BOS,129776214.00,4806526.00,3350000.00,96,1351835.56,yes
2007,CHC,99670332.00,3691494.00,2750000.00,85,1172592.14,no
2007,CHW,108671833.00,4179686.00,2325000.00,72,1509331.01,no
2007,CIN,64779980.00,2089677.00,925000.00,72,899721.94,no
2007,CLE,58373267.00,2084760.00,878334.00,96,608054.86,no
2007,COL,54424000.00,2015704.00,750000.00,90,604711.11,no
2007,DET,93880369.00,3237254.00,2500000.00,88,1066822.38,no
2007,HOU,87759000.00,3250333.00,1300000.00,73,1202178.08,no
2007,KCR,66736500.00,2224550.00,587500.00,69,967195.65,no
2007,LAA,109251333.00,3641711.00,1425000.00,94,1162248.22,no
2007,LAD,108067024.00,3859537.00,1000000.00,82,1317890.54,no
2007,MIA,30507000.00,984097.00,380000.00,71,429676.06,no
2007,MIL,70986500.00,2629130.00,2250000.00,83,855259.04,no
2007,MIN,71439500.00,2551411.00,1000000.00,79,904297.47,no
2007,NYM,115231663.00,3841055.00,1487500.00,88,1309450.72,no
2007,NYY,166930520.00,5961804.00,1375000.00,94,1775856.60,no
2007,OAK,79366940.00,2834534.00,1575000.00,76,1044301.84,no
2007,PHI,88528213.00,3052697.00,850000.00,89,994699.02,no
2007,PIT,38537833.00,1427327.00,410000.00,68,566732.84,no
2007,SDP,58110567.00,2235022.00,625000.00,89,652927.72,no
2007,SEA,106460833.00,3942994.00,1350000.00,71,1499448.35,no
2007,SFG,89569056.00,3582762.00,1750000.00,88,1017830.18,no
2007,STL,89761823.00,3324512.00,1000000.00,78,1150792.60,no
2007,TBR,24123500.00,893463.00,411000.00,66,365507.58,no
2007,TEX,68318675.00,2439953.00,550000.00,75,910915.67,no
2007,TOR,81942800.00,3034919.00,1025000.00,83,987262.65,no
2007,WAS,37347500.00,1287845.00,500000.00,73,511609.59,no
2006,ARI,59684226.00,2295547.00,932000.00,76,785318.76,no
2006,ATL,90156876.00,3108858.00,462500.00,79,1141226.28,no
2006,BAL,72585582.00,2592342.00,1512500.00,70,1036936.89,no
2006,BOS,113599824.00,4369224.00,2886947.00,86,1320928.19,no
2006,CHC,94424499.00,3372304.00,2500000.00,66,1430674.23,no
2006,CHW,102750667.00,3951949.00,2325000.00,90,1141674.08,no
2006,CIN,57909519.00,2144797.00,1300000.00,80,723868.99,no
2006,CLE,56031500.00,2241260.00,1500000.00,78,718352.56,no
2006,COL,41233000.00,1288531.00,350000.00,76,542539.47,no
2006,DET,82227866.00,3045477.00,980000.00,95,865556.48,no
2006,HOU,92551503.00,3559673.00,940000.00,82,1128676.87,no
2006,KCR,47294000.00,1630828.00,500000.00,62,762806.45,no
2006,LAA,103472000.00,4138880.00,2250000.00,89,1162606.74,no
